,Dataset,Hidden Layer,Learning Rate,Neurons,Dropout,Neighbors,Sampling,G-Means
131,PC1,4.0,0.001,15.0,0.1,15.0,1.0,0.815159470177563
132,PC1,4.0,0.001,16.0,0.1,13.0,1.0,0.7731543496830678
133,PC1,5.0,0.001,14.0,0.1,15.0,1.0,0.7737965516331202
134,PC1,1.0,0.00934590716794649,15.0,0.4,7.0,0.48,0.638640688689993
135,PC1,3.0,0.005057098560288861,15.0,0.52,9.0,1.0,0.8110388469242372
136,PC1,4.0,0.001,16.0,0.1,12.0,1.0,0.7854524071329642
137,PC1,2.0,0.006540040438116867,43.0,0.55,13.0,0.92,0.8267623117994295
138,PC1,1.0,0.001065596216577418,43.0,0.1,13.0,0.61,0.5535279345982023
139,PC1,3.0,0.01,44.0,0.6,13.0,1.0,0.7955433366957514
140,PC1,3.0,0.003805323106145553,43.0,0.39,13.0,0.42,0.7994027301362895
141,PC1,2.0,0.01,43.0,0.6,14.0,1.0,0.797084448796565
142,PC1,4.0,0.005482472839077546,16.0,0.28,10.0,1.0,0.8038738605843053
143,PC1,4.0,0.001,15.0,0.1,10.0,1.0,0.8375070794627506
144,PC1,3.0,0.0076358619440563035,15.0,0.11,10.0,0.86,0.8529139521401543
145,PC1,4.0,0.004267429887861195,15.0,0.44,10.0,0.36,0.6109552551761329
146,PC1,3.0,0.0019182519405968627,46.0,0.6,15.0,1.0,0.7771500060074035
147,PC1,4.0,0.009763302786484861,16.0,0.42,11.0,0.86,0.7648457958802988
148,PC1,3.0,0.01,16.0,0.1,10.0,1.0,0.8172954139557227
149,PC1,3.0,0.01,16.0,0.1,8.0,1.0,0.8147053090123811
150,PC3,4.0,0.007587945476302646,8.0,0.29,12.0,0.35,0.6114380092269167
151,PC3,4.0,0.00641003510568888,2.0,0.13,14.0,0.98,0.7411437587112952
152,PC3,1.0,0.002636424704863906,15.0,0.52,4.0,0.63,0.7424556038684692
153,PC3,2.0,0.006506676052501416,15.0,0.32,3.0,0.51,0.7230831389938888
154,PC3,4.0,0.002797064039425238,30.0,0.33,10.0,0.26,0.6868499421767914
155,PC3,1.0,0.0015854643368675156,48.0,0.4,19.0,0.85,0.7287482882024888
156,PC3,1.0,0.007158097238609413,6.0,0.25,9.0,0.61,0.7177180464704896
157,PC3,4.0,0.0033290198344001526,16.0,0.12,13.0,0.63,0.7491491772643939
158,PC3,1.0,0.009726261649881027,47.0,0.37,15.0,0.92,0.7462962736600108
159,PC3,4.0,0.0017964325184672756,3.0,0.4,4.0,0.48,0.0
160,PC3,2.0,0.008458637582367364,14.0,0.29,7.0,0.65,0.7522251766571654
161,PC3,4.0,0.0016709557931179377,38.0,0.17,19.0,0.38,0.7114784737280994
162,PC3,4.0,0.007361716094628555,38.0,0.1,14.0,0.28,0.6637859632945354
163,PC3,1.0,0.008767930832880343,17.0,0.28,12.0,0.27,0.57288914324095
164,PC3,2.0,0.007566455605042577,44.0,0.26,13.0,0.59,0.7643766347098523
165,PC3,1.0,0.01,2.0,0.1,16.0,1.0,0.720798510411084
166,PC3,5.0,0.001,17.0,0.1,7.0,1.0,0.7316320457627942
167,PC3,1.0,0.001,47.0,0.45,9.0,0.22,0.3924090592863434
168,PC3,2.0,0.01,43.0,0.16,15.0,0.94,0.7306093515898506
169,PC3,5.0,0.0021367561846152966,45.0,0.6,14.0,0.22,0.0
170,PC3,1.0,0.00448761327297772,43.0,0.2,13.0,0.56,0.6971465920920704
171,PC3,2.0,0.005709865569908986,15.0,0.29,6.0,0.68,0.7198062527653232
172,PC3,1.0,0.01,45.0,0.1,16.0,1.0,0.7526343600605155
173,PC3,1.0,0.01,47.0,0.1,17.0,1.0,0.7473857793447665
174,PC3,1.0,0.0086580313117923,43.0,0.44,17.0,0.93,0.7407059606868601
175,PC3,1.0,0.003987834915578801,43.0,0.1,11.0,0.86,0.7339054237477289
176,PC3,4.0,0.003797642086060974,15.0,0.18,9.0,0.87,0.7487674601367276
177,PC3,5.0,0.001,14.0,0.1,11.0,1.0,0.7506374841779893
178,PC3,5.0,0.001,17.0,0.1,11.0,1.0,0.7376937238857194
179,PC3,3.0,0.008387852173924017,12.0,0.31,8.0,0.52,0.7713789666591134
180,PC3,1.0,0.007942320328193746,12.0,0.28,9.0,0.96,0.7277064313624729
181,PC3,1.0,0.006365400102865596,12.0,0.35,6.0,0.59,0.7309102925362302
182,PC3,4.0,0.0018987903051919776,13.0,0.43,7.0,0.93,0.725284772628972
183,PC3,4.0,0.008328484746414904,1.0,0.24,17.0,0.35,0.0
184,PC3,3.0,0.00793543666968932,2.0,0.5,12.0,0.77,0.1330533801541447
185,PC3,3.0,0.006858314974855454,13.0,0.57,9.0,0.28,0.0
186,PC3,3.0,0.004557156321095773,12.0,0.36,7.0,0.92,0.758571706882585
187,PC3,2.0,0.003809081876830602,13.0,0.59,7.0,0.34,0.24752469150855222
188,PC3,3.0,0.008580470306324755,12.0,0.2,8.0,0.77,0.7748351167365085
189,PC3,1.0,0.007042943006746869,46.0,0.33,16.0,0.87,0.7250876575899656
190,PC3,2.0,0.004419947999724404,15.0,0.19,7.0,0.83,0.7395025383474885
191,PC3,2.0,0.00997007965758737,12.0,0.13,8.0,0.83,0.7724473294971578
192,PC3,1.0,0.01,14.0,0.1,7.0,0.95,0.7394579295380166
